road,lat,lon,chainage,length,condition,name,model_type,id,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT
N2,24.5389682042168,91.603290539759,175724.0,1.5,A,DHAKA SHAISTAGANG HALIGAN,bridge,11559.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.53944411051745,91.60368058215221,175725.5,132.5,-,,link,11560.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5399200168181,91.6040706245454,175858.0,6.4,A,SHADUGHAT,bridge,11561.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.54062215909085,91.6042487727272,175864.4,159.60000000000582,-,,link,11562.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5413243013636,91.604426920909,176024.0,7.0,A,SHADARGHAT 1,bridge,11563.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.54304532646305,91.6047327635795,176031.0,380.0,-,,link,11564.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5447663515625,91.60503860625,176411.0,43.0,A,Kurorpur Bridge,bridge,11565.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.546582385709,91.60528621034521,176454.0,364.0,-,,link,11566.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5483984198555,91.6055338144404,176818.0,140.0,A,Bizrapar Bridge,bridge,11567.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5511050765944,91.6053332683313,176958.0,472.0,-,,link,11568.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5538117333333,91.6051327222222,177430.0,1.5,A,VHARDEV CULVERT,bridge,11569.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5550665100401,91.60468384605085,177431.5,257.5,-,,link,11570.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5563212867469,91.6042349698795,177689.0,1.5,A,DHAKA KHATENPASS BRIDGE,bridge,11571.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5581124744545,91.60378082302324,177690.5,453.5,-,,link,11572.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5599036621621,91.603326676167,178144.0,2.0,A,BANAODAB GUPLAR BRIDGE,bridge,11573.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.56156352044275,91.60304321201966,178146.0,380.0,-,,link,11574.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5632233787234,91.6027597478723,178526.0,22.0,A,Dhaka Katpass Bridge,bridge,11575.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.566256117833902,91.60280714199169,178548.0,496.0,-,,link,11576.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5692888569444,91.6028545361111,179044.0,14.0,A,RATUM PUR (3),bridge,11577.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5719366063751,91.6020849178822,179058.0,573.0,-,,link,11578.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5745843558058,91.6013152996533,179631.0,2.0,A,RATUM PUR (2),bridge,11579.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.57813371251825,91.5999555690574,179633.0,894.0,-,,link,11580.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5816830692307,91.5985958384615,180527.0,3.0,A,batapur,bridge,11581.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.58267660045895,91.59893675153526,180530.0,232.0,-,,link,11582.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5836701316872,91.599277664609,180762.0,35.0,A,Batapur Bridge,bridge,11583.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.585026034097552,91.5997348918283,180797.0,285.0,-,,link,11584.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5863819365079,91.6001921190476,181082.0,2.0,A,anukandi,bridge,11585.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5874534631156,91.60055615102576,181084.0,249.0,-,,link,11586.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5885249897233,91.6009201830039,181333.0,6.03,A,ANUKANDI,bridge,11587.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.589972177681,91.60126242211865,181339.03,365.97000000000116,-,,link,11588.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5914193656387,91.6016046612334,181705.0,2.0,A,AUSKANDI,bridge,11589.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.59279899177205,91.60251382994099,181707.0,366.0,-,,link,11590.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5941786179054,91.6034229986486,182073.0,1.5,A,AUSKANDI BOX CULVERT,bridge,11591.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.59488574302675,91.6051240426576,182074.5,405.5,-,,link,11592.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5955928681481,91.6068250866666,182480.0,1.5,A,USUAL NAGER,bridge,11593.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5958006069907,91.6082099954166,182481.5,286.5,-,,link,11594.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5960083458333,91.6095949041666,182768.0,6.2,A,USUF NAGAR,bridge,11595.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.59943656657445,91.6130837837942,182774.2,1108.7999999999884,-,,link,11596.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.6028647873156,91.6165726634218,183883.0,3.0,A,MIRAZPUR,bridge,11597.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.6045636892927,91.61847227298071,183886.0,518.0,-,,link,11598.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.6062625912698,91.6203718825396,184404.0,7.2,B,LALALPUR BOX CULVERT,bridge,11599.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
